id,seq,line,newspaper,month,day,page,column,type,init
1,seq25,4,L,4,16,2,1,""," - Flora Jones had been seduced by a Mr. Warner, who"
2,seq25,7,L,5,21,4,2,"", - The grand jury found an indictment against Dr. M. Y.
3,seq25,12,L,8,8,4,4,"", - E. N. Bowes is calling on the business men of Cleve-
4,seq25,19,L,3,26,4,3,"", - The Cuyahoga County Agricultural society held a
5,seq25,23,L,12,26,4,2,"", - The treasurer of the Cuyahoga County Agricultural
6,seq25,30,L,7,8,4,2,""," - Messrs. Thrall and Randall of Sand's Ale agency, 110"
7,seq25,34,L,1,18,2,1,ed," - ""Considerable excitement has been occasioned by"
8,seq26,16,L,2,16,2,2,"", - Congress hesitates whether or not to adopt vigorous
9,seq26,22,L,2,20,2,1,ed, - Whiskey gamblers have succeeded in the House.
10,seq26,27,L,6,24,2,2,ed, - Whiskey has become a luxury. The present price
11,seq26,36,L,3,31,2,4,ed," - Dr. MacGowan, surgeon in the U. S. ""army, con-"
12,seq26,42,L,7,1,3,3,adv, - Lalor's sheep and lamb dripping composition
13,seq27,3,L,7,2,3,2,adv," - Costar's vermin exterminators for rats, mice,"
14,seq27,11,L,7,20,2,3,ed," – A committee of French officers, interested in"
15,seq27,17,L,8,2,2,1,ed,", 2 - England and France have been keeping a watch-"
16,seq27,28,L,1,26,4,5,"", - The Fine Arts Hall committee will hold a meeting
17,seq27,31,L,4,9,4,2,"", - Edwin Croswell's picture of the signing of the com-
18,seq27,34,L,5,31,4,1,""," - Sargeant's exhibit, which displays a picture of the"
20,seq28,6,L,12,5,4,5,""," - A full length portrait of Lincoln, standing in his"
21,seq28,12,L,1,12,4,2,""," - Mrs. Sheldon, a colored woman, arrested and"
22,seq28,15,L,2,5,4,2,""," - A soldier, James Carney, was robbed of $50 in the"
23,seq28,20,L,2,8,4,2,""," - Morris Williams, returned penitentiary convict, WaS"
24,seq28,23,L,3,5,4,4,"", – George Miller was arrested on a charge of entering
25,seq28,26,L,3,15,4,3,"", - The Harriet Blair assault and battery case was
26,seq28,30,L,3,22,4,2,"", - Edward Watson and Simon Hutchins were arrested on
27,seq28,33,L,5,17,4,2,""," - John I. Fuller of the firm of Blackburn and Fuller,"
28,seq29,3,L,5,21,4,2,"", - A certain woman from Youngstown last winter com-
29,seq29,7,L,5,24,4,3,"", - Lewis Richards and Charles Pease were arrested on a
30,seq29,10,L,7,12,4,3,""," - Thomas Watson, Thomas Jones, and Charles Young"
31,seq29,13,L,12,12,4,3,""," - Pat Moran was arrested on Dec. 10, and charged"
32,seq29,15,L,12,29,4,2,"", - Henry Richards was sentenced to pay a $50 fine
33,seq29,21,L,11,29,4,2,ed, - Astronomical savants announce that the occula-
34,seq29,27,L,9,8,4,4,"", - A resolution was adopted by the city council that
35,seq30,5,L,12,14,2,2,ed, - The bankruptcy bill was passed by the House of
37,seq30,16,L,2,26,4,2,adv, - Visitors at the Sanitary fair will find good
38,seq30,21,L,12,27,3,7,""," - Dr. J. W. Hughes, formerly of Cleveland, was arrested"
39,seq30,27,L,3,16,4,2,"", - Citizens of Newburgh were aroused from slumber by a
40,seq30,32,L,6,13,2,3,ed, - Young Robert Lincoln visited in Maine. He is
41,seq30,37,L,7,3,4,3,"", - A lady of respectability from a near-by town came here
42,seq31,7,L,6,24,4,2,""," - The yacht CORAL, of Detroit, having on board a gay"
43,seq31,13,I,2,10,4,5,""," - The following resolution, presented by Mr. Willard,"
44,seq31,17,L,2,17,4,3,""," - The following resolution, presented by Mr. Jones,"
45,seq31,22,L,3,16,4,3,"", - The city council met and transacted the following
43,seq31,26,L,4,6,4,4,"", - The city council met and transacted the following
